,Month,MedCode,AmountConsumed,Mean_Forecast,ARIMA_Forecast,NN_Forecast
162,1/1/2018,3302307,31,,,
163,2/1/2018,3302307,44,,,
164,3/1/2018,3302307,23,,,
165,4/1/2018,3302307,48,,,
166,5/1/2018,3302307,29,,,
167,6/1/2018,3302307,71,,,
168,7/1/2018,3302307,73,,,
169,8/1/2018,3302307,45,,,
170,9/1/2018,3302307,45,,,
171,10/1/2018,3302307,54,,,
172,11/1/2018,3302307,69,,,
173,12/1/2018,3302307,36,,,
174,1/1/2019,3302307,4,,,
175,2/1/2019,3302307,1,,,
176,3/1/2019,3302307,7,,,
177,4/1/2019,3302307,17,,,
178,5/1/2019,3302307,24,,,
179,6/1/2019,3302307,44,,,
180,7/1/2019,3302307,61,,,
181,8/1/2019,3302307,112,,,
182,9/1/2019,3302307,96,,,
183,10/1/2019,3302307,95,,,
184,11/1/2019,3302307,61,,,
185,12/1/2019,3302307,27,,,
186,1/1/2020,3302307,5,17.5,13.31892939,17.42205294
187,1/1/2018,3500322,44,,,
188,2/1/2018,3500322,41,,,
189,3/1/2018,3500322,74,,,
190,4/1/2018,3500322,43,,,
191,5/1/2018,3500322,42,,,
192,6/1/2018,3500322,22,,,
193,7/1/2018,3500322,37,,,
194,8/1/2018,3500322,43,,,
195,9/1/2018,3500322,43,,,
196,10/1/2018,3500322,37,,,
197,11/1/2018,3500322,20,,,
198,12/1/2018,3500322,24,,,
199,1/1/2019,3500322,37,,,
200,2/1/2019,3500322,22,,,
201,3/1/2019,3500322,42,,,
202,4/1/2019,3500322,70,,,
203,5/1/2019,3500322,107,,,
204,6/1/2019,3500322,95,,,
205,7/1/2019,3500322,115,,,
206,8/1/2019,3500322,100,,,
207,9/1/2019,3500322,116,,,
208,10/1/2019,3500322,146,,,
209,11/1/2019,3500322,89,,,
210,12/1/2019,3500322,74,,,
211,1/1/2020,3500322,85,40.5,77.58433259,87.31569424
212,2/1/2020,3500322,92,31.5,78.99413515,88.78276951
213,3/1/2020,3500322,88,58,80.59220497,91.5183371
214,1/1/2018,3301771,63,,,
215,2/1/2018,3301771,66,,,
216,3/1/2018,3301771,49,,,
217,4/1/2018,3301771,20,,,
218,5/1/2018,3301771,89,,,
219,6/1/2018,3301771,128,,,
220,7/1/2018,3301771,89,,,
221,8/1/2018,3301771,82,,,
222,9/1/2018,3301771,82,,,
223,10/1/2018,3301771,54,,,
224,11/1/2018,3301771,113,,,
225,12/1/2018,3301771,56,,,
226,1/1/2019,3301771,160,,,
227,2/1/2019,3301771,116,,,
228,3/1/2019,3301771,77,,,
229,4/1/2019,3301771,102,,,
230,5/1/2019,3301771,78,,,
231,6/1/2019,3301771,37,,,
232,7/1/2019,3301771,48,,,
233,8/1/2019,3301771,33,,,
234,9/1/2019,3301771,121,,,
235,10/1/2019,3301771,57,,,
236,11/1/2019,3301771,41,,,
237,12/1/2019,3301771,91,,,
238,1/1/2020,3301771,72,111.5,78.02726644,73.47290846
239,2/1/2020,3301771,16,91,76.34236011,59.17992673
240,3/1/2020,3301771,99,63,76.11495443,63.78882696
