YearMonth,AmountConsumed,Forecast,MedCode
5/1/2018,52,,3300663
6/1/2018,55,,3300663
7/1/2018,11,,3300663
8/1/2018,25,,3300663
9/1/2018,25,,3300663
10/1/2018,13,,3300663
11/1/2018,97,,3300663
12/1/2018,48,,3300663
1/1/2019,76,,3300663
2/1/2019,19,,3300663
3/1/2019,23,,3300663
4/1/2019,12,,3300663
5/1/2019,3,,3300663
6/1/2019,6,,3300663
7/1/2019,9,,3300663
8/1/2019,6,,3300663
9/1/2019,5,,3300663
10/1/2019,29,,3300663
11/1/2019,21,,3300663
12/1/2019,16,,3300663
1/1/2020,35,12.05340833,3300663
2/1/2020,5,7.154590992,3300663
3/1/2020,12,2.099401947,3300663
