Month,MedCode,AmountConsumed,Forecast
2019-12-31,3302934,11.0,11.0
2020-01-31,3302934,4.0,4.440407956348709
2020-02-29,3302934,4.0,5.5852512408588275
2020-03-31,3302934,5.0,5.417818949872057
2018-01-31,3500322,44.0,44.0
2018-02-28,3500322,41.0,41.0
2018-03-31,3500322,74.0,74.0
2018-04-30,3500322,43.0,43.0
2018-05-31,3500322,42.0,42.0
2018-06-30,3500322,22.0,22.0
2018-07-31,3500322,37.0,37.0
2018-08-31,3500322,43.0,43.0
2018-09-30,3500322,43.0,43.0
2018-10-31,3500322,37.0,37.0
2018-11-30,3500322,20.0,20.0
2018-12-31,3500322,24.0,24.0
2019-01-31,3500322,37.0,37.0
2019-02-28,3500322,22.0,22.0
2019-03-31,3500322,42.0,42.0
2019-04-30,3500322,70.0,70.0
2019-05-31,3500322,107.0,107.0
2019-06-30,3500322,95.0,95.0
2019-07-31,3500322,115.0,115.0
2019-08-31,3500322,100.0,100.0
2019-09-30,3500322,116.0,116.0
2019-10-31,3500322,146.0,146.0
2019-11-30,3500322,89.0,89.0
2019-12-31,3500322,74.0,74.0
2020-01-31,3500322,85.0,87.31569423604202
2020-02-29,3500322,92.0,88.78276951248502
2020-03-31,3500322,88.0,91.51833710238819
2018-01-31,3302307,44.0,44.0
2018-02-28,3302307,23.0,23.0
2018-03-31,3302307,48.0,48.0
2018-04-30,3302307,29.0,29.0
2018-05-31,3302307,71.0,71.0
2018-06-30,3302307,45.0,45.0
2018-07-31,3302307,45.0,45.0
2018-08-31,3302307,54.0,54.0
2018-09-30,3302307,69.0,69.0
2018-10-31,3302307,36.0,36.0
2018-11-30,3302307,4.0,4.0
2018-12-31,3302307,61.0,61.0
2019-01-31,3302307,27.0,27.0
2019-02-28,3302307,31.0,31.0
2019-03-31,3302307,73.0,73.0
2019-04-30,3302307,1.0,1.0
2019-05-31,3302307,7.0,7.000000000000001
2019-06-30,3302307,17.0,17.0
2019-07-31,3302307,24.0,24.0
2019-08-31,3302307,44.0,44.0
2019-09-30,3302307,61.0,61.0
2019-10-31,3302307,112.0,112.0
2019-11-30,3302307,96.0,96.0
2019-12-31,3302307,95.0,95.0
2020-01-31,3302307,5.0,17.422052935329802
2020-02-29,3302307,0.0,19.15164133329271
2020-03-31,3302307,0.0,16.71018400669091
2018-01-31,3300663,79.0,79.0
2018-02-28,3300663,77.0,77.0
2018-03-31,3300663,55.0,55.0
2018-04-30,3300663,25.0,25.0
2018-05-31,3300663,25.0,25.0
2018-06-30,3300663,13.0,13.0
2018-07-31,3300663,97.0,97.0
2018-08-31,3300663,48.0,48.0
2018-09-30,3300663,76.0,76.0
2018-10-31,3300663,19.0,19.0
2018-11-30,3300663,23.0,23.0
2018-12-31,3300663,12.0,12.0
2019-01-31,3300663,9.0,9.0
2019-02-28,3300663,6.0,6.0
2019-03-31,3300663,5.0,5.0
2019-04-30,3300663,29.0,29.0
2019-05-31,3300663,21.0,21.0
2019-06-30,3300663,16.0,16.0
2019-07-31,3300663,13.0,13.0
2019-08-31,3300663,17.0,17.0
2019-09-30,3300663,52.0,52.0
2019-10-31,3300663,11.0,11.0
2019-11-30,3300663,3.0,3.0
2019-12-31,3300663,6.0,6.0
2020-01-31,3300663,35.0,45.041333008404834
2020-02-29,3300663,5.0,17.879250052525194
2020-03-31,3300663,12.0,20.97296060217599
