YearMonth,MedCode,AmountConsumed,Mean_Forecast,ARIMA_Forecast
2019-01-01,3302307,4.0,,
2019-02-01,3302307,1.0,,
2019-03-01,3302307,7.0,,
2019-04-01,3302307,17.0,,
2019-05-01,3302307,24.0,,
2019-06-01,3302307,44.0,,
2019-07-01,3302307,61.0,,
2019-08-01,3302307,112.0,,
2019-09-01,3302307,96.0,,
2019-10-01,3302307,95.0,,
2019-11-01,3302307,61.0,,
2019-12-01,3302307,27.0,,
2020-01-01,3302307,5.0,17.5,13.318929392568274
2018-01-01,3500322,44.0,,
2018-02-01,3500322,41.0,,
2018-03-01,3500322,74.0,,
2018-04-01,3500322,43.0,,
2018-05-01,3500322,42.0,,
2018-06-01,3500322,22.0,,
2018-07-01,3500322,37.0,,
2018-08-01,3500322,43.0,,
2018-09-01,3500322,43.0,,
2018-10-01,3500322,37.0,,
2018-11-01,3500322,20.0,,
2018-12-01,3500322,24.0,,
2019-01-01,3500322,37.0,,
2019-02-01,3500322,22.0,,
2019-03-01,3500322,42.0,,
2019-04-01,3500322,70.0,,
2019-05-01,3500322,107.0,,
2019-06-01,3500322,95.0,,
2019-07-01,3500322,115.0,,
2019-08-01,3500322,100.0,,
2019-09-01,3500322,116.0,,
2019-10-01,3500322,146.0,,
2019-11-01,3500322,89.0,,
2019-12-01,3500322,74.0,,
2020-01-01,3500322,85.0,40.5,77.58433259076385
2020-02-01,3500322,92.0,31.5,78.99413514825244
2020-03-01,3500322,88.0,58.0,80.59220497278534
2018-01-01,3301771,63.0,,
2018-02-01,3301771,66.0,,
2018-03-01,3301771,49.0,,
2018-04-01,3301771,20.0,,
2018-05-01,3301771,89.0,,
2018-06-01,3301771,128.0,,
2018-07-01,3301771,89.0,,
2018-08-01,3301771,82.0,,
2018-09-01,3301771,82.0,,
2018-10-01,3301771,54.0,,
2018-11-01,3301771,113.0,,
2018-12-01,3301771,56.0,,
2019-01-01,3301771,160.0,,
2019-02-01,3301771,116.0,,
2019-03-01,3301771,77.0,,
2019-04-01,3301771,102.0,,
2019-05-01,3301771,78.0,,
2019-06-01,3301771,37.0,,
2019-07-01,3301771,48.0,,
2019-08-01,3301771,33.0,,
2019-09-01,3301771,121.0,,
2019-10-01,3301771,57.0,,
2019-11-01,3301771,41.0,,
2019-12-01,3301771,91.0,,
2020-01-01,3301771,72.0,111.5,78.0272664390887
2020-02-01,3301771,16.0,91.0,76.3423601131147
2020-03-01,3301771,99.0,63.0,76.11495443465236
